unique.cellid,CGP.cellid,CCLE.cellid,GSK.cellid,NCI60.cellid,GRAY.cellid,GNE.cellid,CTRP.cellid,CGP_EMTAB3610.cellid,CCLE_rnaseq.cellid,GDSC.SNP.cellid,Ben_Neel.cellid,LINCS_HMS.cellid,,SU2C.cellid,PGP.cellid,COSMIC.tissueid,Comment
NCI-H748,NCI-H748,,NCIH748,,,,,NCI-H748,,,,,,,,lung,
NCI-H810,NCI-H810,NCI-H810,NCIH810,,,NCI-H810,NCIH810,NCI-H810,NCI-H810,,,,,,,lung,
NCI-H82,NCI-H82,NCI-H82,NCIH82,,,NCI-H82,NCIH82,NCI-H82,NCI-H82,,,,,,NCIH82,lung,
NCI-H838,NCI-H838,NCI-H838,NCIH838,,,,,NCI-H838,NCI-H838,,,,,,,lung,
NCI-H841,,NCI-H841,,,,,NCIH841,NCI-H841,NCI-H841,,,,,,,lung,
NCI-N87,NCI-N87,NCI-N87,NCIN87,,,NCI-N87,,NCI-N87,NCI-N87,,,,,,,stomach,
NCI-SNU-1,NCI-SNU-1,SNU-1,,,,,,NCI-SNU-1,SNU-1,,,,,,,stomach,
NCI-SNU-16,NCI-SNU-16,SNU-16,,,,,,NCI-SNU-16,SNU-16,,,,,,,stomach,
NCI-SNU-5,NCI-SNU-5,SNU-5,,,,,,NCI-SNU-5,SNU-5,,,,,,,stomach,
NOMO-1,NOMO-1,NOMO-1,,,,,NOMO1,NOMO-1,NOMO-1,,,NOMO-1,,,,haematopoietic_and_lymphoid_tissue,
NU-DUL-1,,NU-DUL-1,,,,NU-DUL-1,NUDUL1,NU-DUL-1,NU-DUL-1,,,,,,,haematopoietic_and_lymphoid_tissue,
NUGC-4,,NUGC-4,,,,NUGC-4,NUGC4,NUGC-4,NUGC-4,,,,,,,stomach,
OAW-28,OAW-28,OAW28,,,,OAW28,,OAW-28,OAW28,,,,,,,ovary,
OAW-42,OAW-42,OAW42,,,,OAW42,OAW42,OAW-42,OAW42,,,,,,,ovary,
OC-314,OC-314,OC 314,,,,,,OC-314,OC_314,,,,,,,ovary,
OCI-AML3,,OCI-AML3,,,,OCI-AML3,OCIAML3,OCI-AML3,OCI-AML3,,,,,,,haematopoietic_and_lymphoid_tissue,
OCI-LY-7,,,,,,OCI-LY-7,,OCI-LY7,,OCI-LY7,,,,,,haematopoietic_and_lymphoid_tissue,
OCI-LY10,,OCI-LY10,,,,OCI-LY-10,OCILY10,,,,,,,,,haematopoietic_and_lymphoid_tissue,
OCI-LY3,,OCI-LY3,,,,OCI-LY-3,,,OCI-LY3,,,,,,,haematopoietic_and_lymphoid_tissue,
OCUB-M,OCUB-M,,,,,,,OCUB-M,,,ocubm,,,,,breast,
OV-90,,OV-90,OV90,,,OV-90,OV90,OV-90,OV-90,,,,,,,ovary,
OV56,,OV56,,,,OV56,,OV-56,OV56,OV-56,,,,,,ovary,
OV7,,OV7,,,,OV7,OV7,OV-7,OV7,OV-7,,,,,,ovary,
OVCA 420,,,,,,OVCA 420,,OVCA420,,OVCA420,,,,,,ovary,
OVCAR-3,OVCAR-3,NIH:OVCAR-3,OVCAR3,OV:OVCAR_3,,,,OVCAR-3,NIH_OVCAR-3,,,,,,,ovary,
OVCAR-4,OVCAR-4,OVCAR-4,OVCAR4,OV:OVCAR_4,,OVCAR-4,OVCAR4,OVCAR-4,OVCAR-4,,,,,,,ovary,
OVCAR-5,OVCAR-5,,OVCAR5,OV:OVCAR_5,,OVCAR-5,,OVCAR-5,,,,,,,,ovary,
OVCAR-8,OVCAR-8,OVCAR-8,OVCAR8,OV:OVCAR_8,,OVCAR-8,OVCAR8,OVCAR-8,OVCAR-8,,,,,,,ovary,
OVK18,,OVK18,,,,,OVK18,OVK-18,OVK18,OVK-18,,,,,,ovary,
P30-OHK,P30-OHK,,,,,,,P30-OHK,,,,P30/OHK,,,,haematopoietic_and_lymphoid_tissue,
P31-FUJ,P31-FUJ,P31/FUJ,,,,,,P31-FUJ,P31_FUJ,,,P31/FUJ,,,,haematopoietic_and_lymphoid_tissue,
P3HR-1,,P3HR-1,P3HR1,,,,P3HR1,,P3HR-1,,,,,,,haematopoietic_and_lymphoid_tissue,
PA-TU-8902,,PA-TU-8902,,,,PA-TU-8902,PATU8902,PA-TU-8902,PA-TU-8902,,,,,,,pancreas,
Panc 02.03,,Panc 02.03,,,,Panc 02.03,,PANC-02-03,Panc_02.03,PANC-02-03,,,,,,pancreas,
Panc 02.13,,Panc 02.13,,,,,,,Panc_02.13,,,,,,,pancreas,
Panc 03.27,PANC-03-27,Panc 03.27,,,,Panc 03.27,PANC0327,PANC-03-27,Panc_03.27,PANC-03-27,,Panc 03.27,,,,pancreas,
Panc 04.03,,Panc 04.03,,,,Panc 04.03,,PANC-04-03,Panc_04.03,,,,,,,pancreas,
Panc 05.04,,Panc 05.04,,,,Panc 05.04,,,Panc_05.04,,,,,,,pancreas,
Panc 08.13,PANC-08-13,Panc 08.13,,,,Panc 08.13,,,Panc_08.13,,,Panc 08.13,,,,pancreas,
Panc 10.05,PANC-10-05,Panc 10.05,,,,,PANC1005,,Panc_10.05,,,Panc 10.05,,,,pancreas,
PC-3,PC-3,PC-3,PC3,PR:PC_3,,PC-3,PC3,PC-3,PC-3,,,,,,,prostate,
PE/CA-PJ15,,PE/CA-PJ15,,,,PE/CA-PJ15,,PE-CA-PJ15,PE_CA-PJ15,PE_CA-PJ15,,,,,,upper_aerodigestive_tract,
PE/CA-PJ34 (clone C12),,PE/CA-PJ34 (clone C12),,,,,,,PE_CA-PJ34__clone_C12_,,,,,,,upper_aerodigestive_tract,
PE/CA-PJ41 (clone D2),,PE/CA-PJ41 (clone D2),,,,,,,PE_CA-PJ41__clone_D2_,,,,,,,upper_aerodigestive_tract,
PE/CA-PJ49,,PE/CA-PJ49,,,,,,,PE_CA-PJ49,,,,,,,upper_aerodigestive_tract,
PE01,,,,,,PE01,,PEO1,,PEO1,,,,,,ovary,
PL-21,,PL-21,,,,PL-21,PL21,PL-21,PL-21,,,PL-21,,,,haematopoietic_and_lymphoid_tissue,
PL45,,PL45,,,,PL45,,PL4,,,,,,,,pancreas,
PLC-PRF-5,PLC-PRF-5,PLC/PRF/5,,,,PLC/PRF/5,,,PLC_PRF_5,,,,,,,liver,
QGP-1,,QGP-1,,,,QGP-1,QGP1,QGP-1,QGP-1,,,,,,,pancreas,
Raji,Raji,Raji,RAJI,,,RAJI,,Raji,Raji,,,,,,,haematopoietic_and_lymphoid_tissue,
RCH-ACV,,RCH-ACV,RCHACV,,,,,RCH-ACV,RCH-ACV,,,,,,,haematopoietic_and_lymphoid_tissue,
RCM-1,RCM-1,RCM-1,,,,RCM-1,RCM1,RCM-1,RCM-1,,,,,,,large_intestine,
RD-ES,,RD-ES,RDES,,,,,,RD-ES,,,,,,,bone,
REC-1,,REC-1,REC1,,,REC-1,,,REC-1,,,,,,,haematopoietic_and_lymphoid_tissue,
REH,REH,Reh,,,,,,REH,Reh,,,Reh,,,,haematopoietic_and_lymphoid_tissue,
RERF-LC-KJ,,RERF-LC-KJ,,,,RERF-LC-KJ,RERFLCKJ,RERF-LC-KJ,RERF-LC-KJ,,,,,,,lung,
RKO-E6,,,RKOE6,,,RKO-E6,,,,,,,,,,large_intestine,
RL95-2,RL95-2,RL95-2,RL952,,,,,RL95-2,RL95-2,,,,,,,endometrium,
RMG-I,RMG-I,RMG-I,,,,RMG-I,RMGI,RMG-I,RMG-I,,,RMG-I,,,,ovary,
RMUG-S,,RMUG-S,,,,RMUG-S,RMUGS,,RMUG-S,,,,,,,ovary,
RPMI-2650,RPMI-2650,,RPMI2650,,,RPMI 2650,,RPMI-2650,,,,RPMI 2650,,,,upper_aerodigestive_tract,
RPMI-6666,RPMI-6666,,RPMI6666,,,,,RPMI-6666,,,,RPMI 6666,,,,haematopoietic_and_lymphoid_tissue,
RPMI-8226,RPMI-8226,RPMI 8226,RPMI8226,LE:RPMI_8226,,RPMI 8226,RPMI8226,RPMI-8226,RPMI_8226,,,,,,,haematopoietic_and_lymphoid_tissue,
RS4;11,RS4-11,RS4;11,,,,,,RS4-11,RS4_11,RS4-11,,RS4;11,,,,haematopoietic_and_lymphoid_tissue,
RWPE1,,,RWPE1,,,,,RWPE-1,,,,,,,,Prostate,
RXF393,RXF393,,RXF393,RE:RXF_393,,,,RXF393,,,,,,,,kidney,
Saos-2,Saos-2,Saos-2,SAOS2,,,,,Saos-2,Saos-2,,,,,,,bone,
SC-1,,,,,,SC-1,,Sci-1,,,,,,,,haematopoietic_and_lymphoid_tissue,
SCaBER,,SCaBER,SCABER,,,,,SCaBER,SCaBER,,,,,,,urinary_tract,
SCC-15,SCC-15,SCC-15,SCC15,,,SCC-15,,SCC-15,SCC-15,,,,,,,upper_aerodigestive_tract,
SCC-25,SCC-25,SCC-25,SCC25,,,SCC-25,,SCC-25,SCC-25,,,,,,,upper_aerodigestive_tract,
SCC-4,SCC-4,SCC-4,SCC4,,,,,SCC-4,SCC-4,,,SCC-4,,,,upper_aerodigestive_tract,
SCC-9,SCC-9,SCC-9,SCC9,,,SCC-9,SCC9,SCC-9,SCC-9,,,SCC-9,,,,upper_aerodigestive_tract,
SCLC-21H,SCLC-21H,SCLC-21H,,,,SCLC-21H,SCLC21H,,SCLC-21H,,,,,,,lung,
Set-2,,Set-2,,,,SET-2,,,Set-2,Set2,,,,,,haematopoietic_and_lymphoid_tissue,
SF268,SF268,,SF268,CNS:SF_268,,SF268,,SF268,SF268,,,,,,SF268,central_nervous_system,
SF295,SF295,SF-295,SF295,CNS:SF_295,,,SF295,SF295,SF-295,,,,,,SF295,central_nervous_system,
SF539,SF539,,SF539,CNS:SF_539,,SF539,,SF539,SF539,,,,,,SF539,central_nervous_system,
SH-10-TC,,SH-10-TC,,,,,SH10TC,,SH-10-TC,,,,,,,stomach,
SH-4,SH-4,SH-4,SH4,,,,,SH-4,SH-4,,,,,,,skin,
SHP-77,SHP-77,SHP-77,SHP77,,,,SHP77,SHP-77,SHP-77,,,,,,,lung,
SiHa,SiHa,,SIHA,,,SiHa,,SiHa,,,,,,,,cervix,
SJSA-1,SJSA-1,SJSA-1,SJSA1,,,,,SJSA-1,SJSA-1,,,,,,,bone,
SK-BR-3,,SK-BR-3,SKBR3,,SKBR3,SK-BR-3,,,SK-BR-3,,skbr3,,,SKBR3,SKBR3,breast,
SK-BR-5,,,,,,,,,,,skbr5,,,,,breast,
SK-BR-7,,,,,,,,,,,skbr7,,,,,breast,
SK-CO-1,SK-CO-1,SK-CO-1,,,,SK-CO-1,SKCO1,SK-CO-1,SK-CO-1,,,,,,,large_intestine,
SK-LMS-1,SK-LMS-1,SK-LMS-1,SKLMS1,,,,,SK-LMS-1,SK-LMS-1,,,,,,,soft_tissue,
SK-LU-1,SK-LU-1,SK-LU-1,,,,,SKLU1,SK-LU-1,SK-LU-1,,,,,,,lung,
SK-MEL-1,SK-MEL-1,SK-MEL-1,SKMEL1,,,SK-MEL-1,SKMEL1,SK-MEL-1,SK-MEL-1,,,,,,,skin,
SK-MEL-2,SK-MEL-2,SK-MEL-2,,ME:SK_MEL_2,,SK-MEL-2,,SK-MEL-2,,,,,,,SKMEL2,skin,
SK-MEL-28,SK-MEL-28,SK-MEL-28,SKMEL28,ME:SK_MEL_28,,SK-MEL-28,SKMEL28,SK-MEL-28,SK-MEL-28,,,,,,,skin,
SK-MEL-3,SK-MEL-3,SK-MEL-3,SKMEL3,,,SK-MEL-3,,SK-MEL-3,SK-MEL-3,,,,,,,skin,
SK-MEL-5,SK-MEL-5,SK-MEL-5,,ME:SK_MEL_5,,SK-MEL-5,SKMEL5,SK-MEL-5,SK-MEL-5,,,,,,SKMEL5,skin,
SK-MES-1,SK-MES-1,SK-MES-1,SKMES1,,,SK-MES-1,,SK-MES-1,SK-MES-1,,,,,,,lung,
SK-N-AS,SK-N-AS,SK-N-AS,SKNAS,,,SK-N-AS,,SK-N-AS,SK-N-AS,,,,,,,autonomic_ganglia,
SK-N-BE(2),,SK-N-BE(2),,,,,,,SK-N-BE_2_,,,,,,,autonomic_ganglia,
SK-N-DZ,SK-N-DZ,SK-N-DZ,SKNDZ,,,SK-N-DZ,,SK-N-DZ,SK-N-DZ,,,,,,,autonomic_ganglia,
SK-N-FI,SK-N-FI,SK-N-FI,SKNF1,,,SK-N-FI,,SK-N-FI,SK-N-FI,,,,,,,autonomic_ganglia,
SK-NEP-1,SK-NEP-1,,SKNEP1,,,,,SK-NEP-1,,,,,,,SKNEP,kidney,
SK-OV-3,SK-OV-3,SK-OV-3,SKOV3,OV:SK_OV_3,,SK-OV-3,SKOV3,SK-OV-3,SK-OV-3,,,,,,,ovary,
SK-UT-1,SK-UT-1,SK-UT-1,SKUT1,,,,,SK-UT-1,SK-UT-1,,,,,,SKUT1B,soft_tissue,
SKM-1,SKM-1,SKM-1,,,,SKM-1,SKM1,SKM-1,SKM-1,,,,,,,haematopoietic_and_lymphoid_tissue,
SN12C,SN12C,,SN12C,RE:SN12C,,,,SN12C,,,,,,,SN12C,kidney,
SNB19,SNB19,SNB-19,SNB19,CNS:SNB_19,,,,,,,,SNB-19,,,SNB19,central_nervous_system,
SNB75,SNB75,,SNB75,CNS:SNB_75,,,,SNB75,SNB75,,,,,,SNB75,central_nervous_system,
SNG-M,SNG-M,SNG-M,,,,,SNGM,SNG-M,SNG-M,,,SNG-M,,,,endometrium,
SNU-1,,,SNU1,,,SNU-1,,,,,,SNU-1,,,,stomach,
SNU-1040,,SNU-1040,,,,,SNU1040,SNU-1040,SNU-1040,,,,,,,large_intestine,
SNU-16,,,SNU16,,,SNU-16,,,,,,SNU-16,,,,stomach,
SNU-175,,SNU-175,,,,,SNU175,SNU-175,SNU-175,,,,,,,large_intestine,
SNU-182,,SNU-182,SNU182,,,SNU-182,,SNU-182,SNU-182,,,,,,,liver,
SNU-387,SNU-387,SNU-387,SNU387,,,SNU-387,,SNU-387,SNU-387,,,,,,,liver,
SNU-398,,SNU-398,SNU398,,,SNU-398,SNU398,SNU-398,SNU-398,,,,,,,liver,
SNU-423,SNU-423,SNU-423,SNU423,,,SNU-423,,SNU-423,SNU-423,,,,,,,liver,
SNU-449,SNU-449,SNU-449,SNU449,,,SNU-449,SNU449,SNU-449,SNU-449,,,,,,,liver,
SNU-475,SNU-475,SNU-475,SNU475,,,SNU-475,,SNU-475,SNU-475,,,,,,,liver,
SNU-5,,,SNU5,,,SNU-5,,,,,,SNU-5,,,,stomach,
SNU-61,,SNU-61,,,,,SNU61,SNU-61,SNU-61,,,,,,,large_intestine,
SNU-81,,SNU-81,,,,,SNU81,SNU-81,SNU-81,,,,,,,large_intestine,
SNU-840,,SNU-840,,,,,SNU840,,SNU-840,,,,,,,ovary,
SNU-C2A,,SNU-C2A,,,,,SNUC2A,,SNU-C2A,,,,,,,large_intestine,
SNU-C4,,SNU-C4,,,,,SNUC4,,SNU-C4,,,,,,,large_intestine,
SNU-C5,,SNU-C5,,,,,SNUC5,SNU-C5,SNU-C5,,,,,,,large_intestine,
Sq-1,,Sq-1,,,,,SQ1,,Sq-1,,,,,,,lung,
SR,SR,SR-786,SR,LE:SR,,SR,,SR,SR-786,,,,,,,haematopoietic_and_lymphoid_tissue,
SU-DHL-10,,SU-DHL-10,SUDHL10,,,SU-DHL-10,,SU-DHL-10,SU-DHL-10,,,,,,,haematopoietic_and_lymphoid_tissue,
SU-DHL-16,,,SUDHL16,,,SU-DHL-16,,SU-DHL-16,,,,SU-DHL-16,,,,hematopoietic_and_lymphatic_system,
SU-DHL-4,,SU-DHL-4,,,,SU-DHL-4,SUDHL4,SU-DHL-4,SU-DHL-4,,,,,,,haematopoietic_and_lymphoid_tissue,
SU-DHL-5,,SU-DHL-5,SUDHL5,,,SU-DHL-5,SUDHL5,SU-DHL-5,SU-DHL-5,,,,,,,haematopoietic_and_lymphoid_tissue,
SU-DHL-6,,SU-DHL-6,SUDHL6,,,SU-DHL-6,,SU-DHL-6,SU-DHL-6,,,,,,,haematopoietic_and_lymphoid_tissue,
SU.86.86,,SU.86.86,,,,SU.86.86,,SU8686,SU.86.86,SU8686,,,,,,pancreas,
SUIT-2,,SUIT-2,,,,SUIT-2,SUIT2,SUIT-2,SUIT-2,,,,,,,pancreas,
SUM 1315M02,,,,,SUM1315MO2,SUM 1315M02,,,,,sum1315,,,,,breast,
SUM 149PT,,,,,SUM149PT,SUM 149PT,,,,,sum149,,,,,breast,
SUM 159PT,,,,,SUM159PT,SUM 159PT,,,,,sum159,,,,,breast,
SUM 229PE,,,,,SUM229PE,SUM 229PE,,,,,sum229,,,,,breast,
SUM225CWN,,,,,SUM225CWN,,,,,,sum225,,,,,breast,
SUM 52PE,,,,,SUM52PE,SUM 52PE,,,,,sum52,,,,,breast,
SUM102PT,,,,,SUM102PT,,,,,,sum102,,,,,breast,
SUM185PE,,,,,SUM185PE,,,,,,sum185,,,,,breast,
SUM44PE,,,,,SUM44PE,,,,,,sum44,,,,,breast,
SW 1271,,SW 1271,,,,,,SW1271,SW_1271,SW1271,,,,,,lung,
SW 1353,,SW 1353,SW1353,,,,,,SW_1353,,,,,,,bone,ATCC: chondrosarcoma
SUM 190,,,,,,,,,,,sum190,,,,,breast,
SW 527,,,,,,SW 527,,,,,sw527,,,,,breast,
SW1088,SW1088,SW 1088,SW1088,,,,,SW1088,SW_1088,,,SW 1088,,,,central_nervous_system,
SW1116,SW1116,SW1116,SW1116,,,SW 1116,,SW1116,SW1116,,,,,,,large_intestine,
SW13,SW13,,,,,,,SW13,,,,SW 13,,,,adrenal_gland,
SW1417,SW1417,SW1417,SW1417,,,SW 1417,,SW1417,SW1417,,,,,,,large_intestine,
SW1463,SW1463,SW1463,SW1463,,,SW 1463,,SW1463,SW1463,,,,,,,large_intestine,
SW1573,SW1573,SW 1573,SW1573,,,SW 1573,,SW1573,SW_1573,,,,,,,lung,
SW1710,SW1710,SW-1710,,,,,,SW1710,SW-1710,,,SW-1710,,,,urinary_tract,
SW1783,SW1783,SW 1783,SW1783,,,,,SW1783,SW_1783,,,SW 1783,,,,central_nervous_system,
SW1990,SW1990,SW 1990,SW1990,,,SW 1990,,SW1990,SW_1990,,,,,,,pancreas,
SW403,SW403,SW403,SW403,,,SW 403,SW403,,SW403,,,,,,,large_intestine,
SW48,SW48,SW48,SW48,,,SW 48,SW48,SW48,SW48,,,,,,,large_intestine,
SW480,,SW480,SW480,,,SW 480,SW480,,SW480,,,,,,,large_intestine,
SW620,SW620,SW620,SW620,CO:SW_620,,SW 620,SW620,SW620,SW620,,,,,,,large_intestine,
SW626,SW626,,,,,,,SW626,,,,SW 626,,,,ovary,
SW780,SW780,SW 780,SW780,,,SW 780,,SW780,SW_780,,,,,,,urinary_tract,
SW837,SW837,SW837,SW837,,,SW 837,,SW837,SW837,,,,,,,large_intestine,
SW900,SW900,SW 900,SW900,,,SW 900,,SW900,SW_900,,,,,,,lung,
SW948,SW948,SW948,SW948,,,SW 948,SW948,SW948,SW948,,,,,,,large_intestine,
SW982,SW982,,SW982,,,SW 982,,SW982,,,,,,,,soft_tissue,
T-24,T-24,T24,T24,,,,,T-24,T24,,,,,,,urinary_tract,
T3M-10,,T3M-10,,,,,T3M10,,T3M-10,,,,,,,lung,
T47D,T47D,T-47D,T47D,BR:T47D,T47D,T-47D,,T47D,T-47D,,t47d,,,T47D,,breast,
TE 125.T,,TE 125.T,,,,,,,TE_125.T,,,,,,,soft_tissue,
TE 159.T,,TE 159.T,,,,,,,TE_159.T,,,,,,,soft_tissue,
TE 441.T,TE-441-T,TE 441.T,,,,,,TE-441-T,TE_441.T,TE-441-T,,TE-441-T,,,,soft_tissue,
TE 617.T,,TE 617.T,,,,,,,TE_617.T,,,,,,,soft_tissue,
THP-1,THP-1,THP-1,THP1,,,THP-1,THP1,THP-1,THP-1,,,,,,,haematopoietic_and_lymphoid_tissue,
TI-73,TI-73,T1-73,,,,,,,T1-73,,,,,,,bone,
TK10,TK10,,TK10,RE:TK_10,,TK-10,,TK10,,,,,,,TK10,kidney,
TO 175.T,,TO 175.T,TO175T,,,,,,TO_175.T,,,,,,,haematopoietic_and_lymphoid_tissue,
Toledo,,Toledo,TOLEDO,,,Toledo,,,Toledo,,,,,,,haematopoietic_and_lymphoid_tissue,
TYK-nu,TYK-nu,TYK-nu,,,,TYK-nu,TYKNU,TYK-nu,TYK-nu,,,TYK-nu,,,,ovary,
U-118-MG,U-118-MG,U-118 MG,,,,,,U-118-MG,U-118_MG,,,U-118 MG,,,,central_nervous_system,
U-138 MG,,U-138 MG,U138MG,,,,,,,,,,,,,central_nervous_system,
U-2-OS,U-2-OS,U-2 OS,,,,U-2 OS,U2OS,U-2-OS,U-2_OS,,,,,,,bone,
U-266,U-266,U266B1,U266B1,,,,,U-266,U266B1,,,U266B1,,,,haematopoietic_and_lymphoid_tissue,
U-87-MG,U-87-MG,U-87 MG,U87MG,,,,,U-87-MG,U-87_MG,,,U-87 MG,,,,central_nervous_system,
U-937,,U-937,,,,U-937,U937,,U-937,,,U-937,,,,haematopoietic_and_lymphoid_tissue,
U251,U251,U-251 MG,U251,CNS:U251,,,,U251,U-251_MG,,,,,,U251,central_nervous_system,
UACC-257,UACC-257,UACC-257,UACC257,ME:UACC_257,,UACC-257,,UACC-257,UACC-257,,,,,,UACC257,haematopoietic_and_lymphoid_tissue,
UACC-3199,,,,,,,,,,,uacc3199,,,,,breast,
UACC-62,UACC-62,UACC-62,UACC62,ME:UACC_62,,,,UACC-62,UACC-62,,,,,,UACC62,haematopoietic_and_lymphoid_tissue,
UACC-812,UACC-812,UACC-812,UACC812,,UACC812,UACC-812,,UACC-812,UACC-812,,uacc812,,,UACC812,UACC812,breast,
UACC-893,UACC-893,UACC-893,UACC893,,UACC893,UACC-893,,UACC-893,UACC-893,,uacc893,,,UACC893,,breast,
UM-UC-3,UM-UC-3,UM-UC-3,UMUC3,,,UM-UC-3,UMUC3,UM-UC-3,UM-UC-3,,,,,,,urinary_tract,
UMC-11,UMC-11,,UMC11,,,UMC-11,,UMC-11,,,,,,,,lung,
UO31,U031,,UO31,RE:UO_31,,,,U031,UO-31,U031,,,,,,kidney,
VCaP,,VCaP,,,,,,VCaP,VCaP,,,VCaP,,,,prostate,
VM-CUB-1,VM-CUB-1,VM-CUB1,,,,,,VM-CUB-1,VM-CUB1,,,VM-CUB1,,,,urinary_tract,
VMRC-LCD,,VMRC-LCD,,,,VMRC-LCD,VMRCLCD,VMRC-LCD,,,,,,,,lung,
VMRC-RCW,,VMRC-RCW,,,,,VMRCRCW,,VMRC-RCW,,,,,,,kidney,
WIDR,,,WIDR,,,WiDr,,,,,,WiDr,,,,large_intestine,
WM-115,WM-115,WM-115,WM115,,,WM-115,,WM-115,WM-115,,,,,,,skin,
WM-266-4,,WM-266-4,,,,WM-266-4,,WM-266-4,WM-266-4,,,WM 266-4,,,,skin,
WM-793,,WM-793,,,,,,WM793B,WM-793,,,,,,,skin,
WM-983B,,WM-983B,,,,,,,WM983B,,,,,,,skin,
WSU-DLCL2,,WSU-DLCL2,,,,WSU-DLCL2,WSUDLCL2,WSU-DLCL2,WSU-DLCL2,,,WSU-DLCL2,,,,haematopoietic_and_lymphoid_tissue,
YKG-1,YKG-1,YKG1,,,,,,YKG-1,YKG1,,,,,,,central_nervous_system,
ZR-75-1,,ZR-75-1,ZR751,,ZR751,ZR-75-1,,,ZR-75-1,,zr751,ZR-75-1,,ZR751,ZR751,breast,
ZR-75-30,ZR-75-30,ZR-75-30,,,ZR7530,ZR-75-30,,ZR-75-30,ZR-75-30,,zr7530,,,ZR7530,ZR7530,breast,
ZR75B,,,,,ZR75B,,,,,,zr75b,,,ZR75B,,breast,
