unique.cellid,CGP.cellid,CCLE.cellid,GSK.cellid,NCI60.cellid,GRAY.cellid,GNE.cellid,CTRP.cellid,CGP_EMTAB3610.cellid,CCLE_rnaseq.cellid,GDSC.SNP.cellid,Ben_Neel.cellid,LINCS_HMS.cellid,,SU2C.cellid,PGP.cellid,COSMIC.tissueid,Comment
COLO-205,COLO-205,COLO 205,COLO205,CO:COLO205,,COLO 205,COLO205,COLO-205,,,,,,,,large_intestine,
COLO-320-HSR,COLO-320-HSR,COLO-320,COLO320HSR,,,,COLO320,COLO-320-HSR,COLO-320,,,,,,COLO320HSR,large_intestine,
COLO-668,COLO-668,COLO 668,COLO668,,,,COLO668,COLO-668,COLO_668,,,,,,,lung,
COLO-678,COLO-678,COLO-678,,,,COLO 678,COLO678,COLO-678,COLO-678,,,,,,,large_intestine,
COLO-679,COLO-679,COLO-679,,,,COLO 679,,COLO-679,COLO-679,,,,,,,skin,
COLO-680N,COLO-680N,COLO-680N,,,,COLO 680N,,COLO-680N,COLO-680N,,,,,,,oesophagus,
COLO-684,COLO-684,COLO 684,,,,,,COLO-684,COLO_684,,,COLO 684,,,,endometrium,
COLO-699,,COLO-699,,,,COLO 699,COLO699,,,,,,,,,lung,
COLO-704,,COLO-704,COLO704,,,COLO-704,,,,,,,,,,ovary,
COLO-741,COLO-741,COLO 741,,,,COLO 741,COLO741,COLO-741,COLO_741,,,,,,,large_intestine,
COLO-792,COLO-792,COLO 792,,,,COLO 792,,COLO-792,COLO_792,,,,,,,skin,
COLO-800,COLO-800,COLO-800,,,,COLO 800,,COLO-800,COLO-800,,,,,,,skin,
COLO-824,COLO-824,,,,COLO824,,,COLO-824,,,,,,,,breast,
COLO-829,COLO-829,COLO 829,COLO829,,,COLO 829,,COLO-829,COLO_829,,,,,,,skin,
COLO-849,,COLO-849,,,,COLO 849,,,,,,,,,,skin,
COR-L105,COR-L105,COR-L105,CORL105,,,,,COR-L105,COR-L105,,,COR-L 105,,,,lung,
COR-L23,COR-L23,COR-L23,CORL23,,,,CORL23,,COR-L23,,,,,,,lung,
COR-L279,COR-L279,COR-L279,CORL279,,,COR-L279,CORL279,COR-L279,COR-L279,,,,,,,lung,
COR-L51,COR-L51,COR-L51,,,,,CORL51,COR-L23,,,,,,,,lung,
COR-L88,COR-L88,COR-L88,CORL88,,,COR-L88,CORL88,COR-L88,COR-L88,,,,,,,lung,
CRO-AP2,CRO-AP2,,CROAP2,,,,,CRO-AP2,,,,,,,,haematopoietic_and_lymphoid_tissue,
CRO-AP5,CRO-AP5,,CROAP5,,,,,,,,,,,,,haematopoietic_and_lymphoid_tissue,
CW-2,CW-2,CW-2,,,,CW-2,CW2,CW-2,CW-2,,,,,,,large_intestine,
D-283MED,D-283MED,D283 Med,D283MED,,,,,D-283MED,D283_Med,,,D283 Med,,,,central_nervous_system,
D341 Med,,D341 Med,D341MED,,,,,,D341_Med,,,,,,,central_nervous_system,ATCC:Brain/cerebellum 
Daudi,Daudi,Daudi,DAUDI,,,Daudi,,Daudi,Daudi,,,,,,,haematopoietic_and_lymphoid_tissue,
DBTRG-05MG,DBTRG-05MG,DBTRG-05MG,DBTRG05MG,,,,,DBTRG-05MG,DBTRG-05MG,,,,,,,central_nervous_system,
Detroit562,Detroit562,Detroit 562,DETROIT562,,,Detroit 562,,Detroit562,Detroit_562,,,,,,,upper_aerodigestive_tract,
DG-75,DG-75,,DG75,,,,,DG-75,,,,,,,,haematopoietic_and_lymphoid_tissue,
DK-MG,DK-MG,DK-MG,DKMG,,,,,DK-MG,DK-MG,,,,,,,central_nervous_system,
DLD-1,,DLD-1,DLD1,,,DLD-1,DLD1,,,,,,,,,large_intestine,
